Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1643996,1502988,1519109,1526540
Liabilities,,,,
Total Liabilities,1436879,1297041,1326307,1339828
Stockholders' Equity,,,,
Common Stock,6559,6883,6872,6898
Retained Earnings,149615,137452,124407,117141
Accumulated other comprehensive income,431,-520,-270,-397
Total stockholders' equity,207117,205947,192802,186594
Total liabilities and stockholders' equity,1643996,1502988,1519109,1526540
