Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,5875752,6149840,3036148
Liabilities,,,
Total Liabilities,245289,554982,121648
Stockholders' Equity,,,
Common Stock,290094,293740,189740
Total stockholders' equity,5630463,5594858,2914500
Total liabilities and stockholders' equity,5875752,6149840,3036148
