Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-407,-407,-785,-93,-180
Acquisitions net,-2578,-2578,-,-,-
Purchases of investments,-,-,-259,-,-
Other investing activites,-168,-168,-,-,-
Net cash used for investing activites,-3148,-3148,-1041,-88,-172
Debt repayment,-26420,-26420,-35812,-23123,-27540
Common stock issued,-,-,500,-,-
Common stock repurchased,-,-,-,-,-746
Dividends Paid,-782,-782,-689,-649,-557
Net cash used privided by (used for) financing activities,7332,7332,-4112,4914,-1095
Net change in cash,-1056,-1056,895,58,-786
Cash at beginning of period,2253,2253,1505,1411,2373
Cash at end of period,1311,1311,2253,1505,1411
Capital Expenditure,-407,-407,-785,-93,-180
Free Cash Flow,-5647,-5647,5263,-4861,301
