Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1669000,2392000,2284000,1751000
Depreciation & amortization,-,2112000,1871000,1888000
Change in working capital,-,423000,848000,282000
Inventory,-,470000,-124000,-
Other working capital,-,3697000,1418000,2097000
Other non-cash items,-,704000,-600000,-216000
Net cash provided by operating activites,-,5258000,4744000,3866000
Investments in property plant and equipment,-,-1561000,-3326000,-1769000
Acquisitions net,-,-3100000,-208000,-
Purchases of investments,-,-1099000,-1599000,-724000
Sales/Maturities of investments,-,1357000,444000,556000
Other investing activites,-,87000,-1000,-4000
Net cash used for investing activites,-,-4261000,-4657000,-1883000
Net change in cash,-,-1060000,2458000,1096000
Cash at beginning of period,-,15007000,12548000,11452000
Cash at end of period,-,13947000,15007000,12548000
Operating Cash Flow,-,5258000,4744000,3866000
Capital Expenditure,-,-1561000,-3326000,-1769000
Free Cash Flow,-,3697000,1418000,2097000
