Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,30077000,25595000,25455000,42091000
Depreciation & amortization,-,2347000,1874000,1736000
Change in working capital,-,-62735000,-10754000,31887000
Inventory,-,777000,9034000,-2483000
Other working capital,-,-51855000,10653000,47169000
Other non-cash items,-,962000,617000,2769000
Net cash provided by operating activites,-,-28384000,19331000,58874000
Investments in property plant and equipment,-,-23471000,-8678000,-11705000
Acquisitions net,-,-2141000,-2771000,-
Purchases of investments,-,-7326000,-5051000,-3203000
Sales/Maturities of investments,-,7452000,6979000,5393000
Other investing activites,-,929000,1605000,-345000
Net cash used for investing activites,-,-24475000,-7812000,-9797000
Net change in cash,-,-3962000,9539000,36336000
Cash at beginning of period,-,100526000,90986000,54650000
Cash at end of period,-,96564000,100526000,90986000
Operating Cash Flow,-,-28384000,19331000,58874000
Capital Expenditure,-,-23471000,-8678000,-11705000
Free Cash Flow,-,-51855000,10653000,47169000
