Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-4316000,670000,2500000,3827000
Depreciation & amortization,-,1986000,2163000,2280000
Change in working capital,-,-7875000,-11260000,-56173000
Other working capital,-,-5983000,-13684000,-56616000
Other non-cash items,-,-1832000,-8635000,18303000
Net cash provided by operating activites,-,-4327000,-11911000,-55214000
Investments in property plant and equipment,-,-1656000,-1773000,-1402000
Purchases of investments,-,-407781000,-645545000,-994540000
Sales/Maturities of investments,-,535102000,704589000,1007926000
Other investing activites,-,-,1000,-
Net cash used for investing activites,-,125797000,57307000,12008000
Net change in cash,-,112988000,43721000,-38939000
Cash at beginning of period,-,173720000,129998000,168937000
Cash at end of period,-,286708000,173720000,129998000
Operating Cash Flow,-,-4327000,-11911000,-55214000
Capital Expenditure,-,-1656000,-1773000,-1402000
Free Cash Flow,-,-5983000,-13684000,-56616000
