Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,358782,358782,380905,707100,611186
Depreciation & amortization,1487888,1487888,730177,432158,495836
Change in working capital,49070,49070,-817852,-826547,-478051
Inventory,-464394,-464394,-847364,-839611,-463345
Other working capital,412625,412625,-639380,-414238,-62207
Other non-cash items,117869,117869,56823,68159,32802
Net cash provided by operating activites,2123916,2123916,442433,435164,755651
Investments in property plant and equipment,-1711291,-1711291,-1081813,-849402,-817858
Acquisitions net,-172587,-172587,-1961566,-15000,-
Purchases of investments,-,-,-,-27530,-253167
Sales/Maturities of investments,-,-,-,121,130
Other investing activites,-68494,-68494,-24013,-27052,76942
Net cash used for investing activites,-1952710,-1952710,-3526611,-1254980,-993517
Net change in cash,295585,295585,147177,25305,-1332533
Cash at beginning of period,1700950,1700950,1533834,1508529,2841062
Cash at end of period,1996536,1996536,1700950,1533834,1508529
Operating Cash Flow,2123916,2123916,442433,435164,755651
Capital Expenditure,-1711291,-1711291,-1081813,-849402,-817858
Free Cash Flow,412625,412625,-639380,-414238,-62207
