Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,442365,442365,473559,324555,248751
Interest Expense,60546,60546,46919,36399,28774
Income Before Tax,84432,84432,170095,2069,16056
Income Tax Expense,22834,22834,46701,12275,-34802
Income from Continuing Operations,61598,61598,123394,-10206,50858
Net Income,61598,61598,123394,-10206,50858
Net Income available to common shareholders,4262,4262,123394,-10206,50858
Basic EPS,-,-,5.61,-0.46,2.31
Diluted EPS,-,-,5.34,-0.46,2.20
Basic Average Shares,-,-,21982,22015,21982
Diluted Average Shares,-,-,23111,22062,23111
