Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,940000,1480000,4481000,3367000
Depreciation & amortization,-,1133000,617000,597000
Change in working capital,-,11103000,-24528000,-6168000
Inventory,-,1290000,-16264000,-5641000
Other working capital,-,12713000,-19462000,-2220000
Other non-cash items,-,1268000,-419000,706000
Net cash provided by operating activites,-,13052000,-19268000,-1843000
Investments in property plant and equipment,-,-339000,-194000,-377000
Acquisitions net,-,-200000,-564000,-610000
Purchases of investments,-,-185000,-160000,-91000
Sales/Maturities of investments,-,159000,1036000,354000
Other investing activites,-,77000,76000,-154000
Net cash used for investing activites,-,-423000,634000,-816000
Net change in cash,-,1066000,-25221000,-12075000
Cash at beginning of period,-,13471000,38692000,50768000
Cash at end of period,-,14580000,13471000,38692000
Operating Cash Flow,-,13052000,-19268000,-1843000
Capital Expenditure,-,-339000,-194000,-377000
Free Cash Flow,-,12713000,-19462000,-2220000
