Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1243,-1589,-1687,-3917,-
Purchases of investments,-,-0.059,-,-,-
Sales/Maturities of investments,-,-,-,-,100
Net cash used for investing activites,-1243,-1590,-1687,-3917,100
Debt repayment,-207.048,-164.679,-39.076,-737.572,-
Common stock issued,-,5444,2750,10000,-
Common stock repurchased,-,-168.452,-145.369,-711.748,-
Dividends Paid,-,-,-,-,-69.15
Other financing activites,-,-,-,10107,-
Net cash used privided by (used for) financing activities,19919,6272,2733,9383,-69.15
Net change in cash,14340,909.196,-1050,3078,-1270
Cash at beginning of period,193.332,2075,3125,47.731,1865
Cash at end of period,14534,2984,2075,3125,594.256
Capital Expenditure,-1243,-1589,-1687,-3917,-
Free Cash Flow,-5579,-5363,-3784,-6306,-1301
