Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2445000,1324000,1223000,1513000
Depreciation & amortization,-,2512000,2416000,2333000
Change in working capital,-,-1354000,-1700000,1545000
Inventory,-,-1293000,-445000,2104000
Other working capital,-,47000,-3695000,3316000
Other non-cash items,-,63000,-245000,-141000
Net cash provided by operating activites,-,2540000,1718000,5536000
Investments in property plant and equipment,-,-2493000,-5413000,-2220000
Purchases of investments,-,-4100000,-10000000,-10500000
Sales/Maturities of investments,-,4100000,15500000,5000000
Other investing activites,-,-27000,-71000,-44000
Net cash used for investing activites,-,-1988000,-87000,-7573000
Net change in cash,-,-2093000,2896000,-2770000
Cash at beginning of period,-,11578000,8682000,11452000
Cash at end of period,-,9485000,11578000,8682000
Operating Cash Flow,-,2540000,1718000,5536000
Capital Expenditure,-,-2493000,-5413000,-2220000
Free Cash Flow,-,47000,-3695000,3316000
