Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-9546,-11172,-11441,-6061,-2078
Other investing activites,-,-,-,-19.14,-
Net cash used for investing activites,-9546,-11172,-11441,-6080,-2078
Common stock issued,5766,219.09,15932,11395,12721
Net cash used privided by (used for) financing activities,5766,219.09,15932,11395,12721
Net change in cash,-4883,-11850,3569,4204,9966
Cash at beginning of period,12587,18366,14793,10832,871.871
Cash at end of period,7704,6527,18366,14793,10832
Capital Expenditure,-9546,-11172,-11441,-6061,-2078
Free Cash Flow,-10649,-12069,-12363,-7173,-2755
