Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2973000,3573000,5355000,5563000
Depreciation & amortization,-,1172000,1364000,1414000
Change in working capital,-,-12862000,-6230000,30858000
Other working capital,-,-10268000,-2197000,36643000
Other non-cash items,-,-293000,238000,19382000
Net cash provided by operating activites,-,-9583000,-1704000,37925000
Investments in property plant and equipment,-,-685000,-493000,-1282000
Purchases of investments,-,-110129000,-179533000,-200970000
Sales/Maturities of investments,-,131149000,171239000,179027000
Other investing activites,-,-1000,-1000,1000
Net cash used for investing activites,-,20369000,-8771000,-22827000
Net change in cash,-,9848000,-11415000,14027000
Cash at beginning of period,-,40005000,51421000,37393000
Cash at end of period,-,49854000,40005000,51421000
Operating Cash Flow,-,-9583000,-1704000,37925000
Capital Expenditure,-,-685000,-493000,-1282000
Free Cash Flow,-,-10268000,-2197000,36643000
