Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,18438677,17820440,17820912,16235897,16357103
Interest Expense,433423,366828,432134,391026,406302
Income Before Tax,1168049,959178,888354,-1057692,1481481
Income Tax Expense,193960,148444,102012,548718,315091
Income from Continuing Operations,974089,810734,786342,-1606410,1166390
Net Income,728394,785041,552564,-1601282,1166390
Net Income available to common shareholders,728394,785041,552564,-1601282,1166390
Basic EPS,-,0.60,0.41,-1.17,0.85
Diluted EPS,-,0.59,0.41,-1.17,0.84
Basic Average Shares,-,1317000,1347000,1364000,1370000
Diluted Average Shares,-,1325412,1360996,1364000,1388229
