Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,950021,807458,758010,729598
Liabilities,,,,
Total Liabilities,81341,53804,15965,26690
Stockholders' Equity,,,,
Common Stock,69,69,69,69
Retained Earnings,-,382279,331945,254083
Total stockholders' equity,868680,753654,742045,702908
Total liabilities and stockholders' equity,950021,807458,758010,729598
