Attribute,Value
Previous Close,31.61
Open,32.49
Bid,32.06 x 800
Ask,32.50 x 800
Day's Range,31.59 - 32.50
52 Week Range,26.59 - 78.15
Volume,81142
Avg. Volume,163137
Net Assets,82.14M
NAV,32.27
PE Ratio (TTM),
Yield,0.00%
YTD Daily Total Return,-55.48%
Beta (5Y Monthly),-0.43
Expense Ratio (net),1.35%
Inception Date,2010-11-29
