Breakdown,1/31/2019,1/31/2018,1/31/2017
Total Assets,550988,503508,428963
Liabilities,,,
Total Liabilities,19563,4085,357
Stockholders' Equity,,,
Common Stock,716,721,721
Total stockholders' equity,531425,499423,428606
Total liabilities and stockholders' equity,550988,503508,428963
