Breakdown,3/31/2019,3/31/2018
Total Assets,321306,306092
Liabilities,,
Total Liabilities,138979,136578
Stockholders' Equity,,
Common Stock,1660,1660
Retained Earnings,19518,6705
Total stockholders' equity,182327,169514
Total liabilities and stockholders' equity,321306,306092
