Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,133714,133714,171096,123792,89684
Depreciation & amortization,-,-,9355,9311,7763
Change in working capital,-,-,96140,-47112,-164420
Inventory,-,-,-5181,-4416,-4749
Other working capital,-,-,355371,146587,-26421
Other non-cash items,-,-,58650,38615,42651
Net cash provided by operating activites,-,-,371079,153213,287
Investments in property plant and equipment,-,-,-15708,-6626,-26708
Acquisitions net,-,-,-46231,-,-
Sales/Maturities of investments,-,-,0,3764,-
Net cash used for investing activites,-,-,-60871,214,-25162
Net change in cash,-,-,83547,18850,16211
Cash at beginning of period,-,-,83859,65013,49218
Cash at end of period,-,-,167406,83859,65013
Operating Cash Flow,-,-,371079,153213,287
Capital Expenditure,-,-,-15708,-6626,-26708
Free Cash Flow,-,-,355371,146587,-26421
