Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,1781709,1781709,1466862
Cost of Revenue,1187490,1187490,1004248
Gross Profit,594218,594218,462614
Total Operating Expenses,255980,255980,165498
Operating Income or Loss,338238,338238,297116
Interest Expense,5,5,-
Income Before Tax,338189,338189,296942
Income Tax Expense,101533,101533,98708
Income from Continuing Operations,236656,236656,198234
Net Income,236656,236656,198233
Net Income available to common shareholders,236656,236656,198233
Basic EPS,-,-,86.75
Diluted EPS,-,-,86.75
Basic Average Shares,-,-,2285
Diluted Average Shares,-,-,2285
