Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-,-,-,-,-833
Sales/Maturities of investments,3891,3891,-,-,-
Other investing activites,-3146,-3146,-,-,-
Net cash used for investing activites,745.303,745.303,-,-345,-833
Debt repayment,-725.382,-725.382,-,-,-
Common stock issued,-,-,-,551,521
Other financing activites,-,-,-,20,601
Net cash used privided by (used for) financing activities,-305.597,-305.597,396,571,1122
Net change in cash,13.357,13.357,-32.491,-346,-700
Cash at beginning of period,8.014,8.014,40.505,401,1059
Cash at end of period,21.371,21.371,8.014,41,401
Capital Expenditure,-,-,-,-,-833
Free Cash Flow,-426.349,-426.349,-428.491,-572,-1822
