Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,309551,311999,292110,257832
Liabilities,,,,
Total Liabilities,46259,58145,46862,17078
Stockholders' Equity,,,,
Common Stock,242981,238633,234586,231780
Retained Earnings,18299,14102,9765,8142
Accumulated other comprehensive income,2907,1647,897,832
Total stockholders' equity,264187,254382,245248,240754
Total liabilities and stockholders' equity,309551,311999,292110,257832
