Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,4696689,4696689,4340556
Cost of Revenue,3604716,3604716,3416584
Gross Profit,1091972,1091972,923971
Total Operating Expenses,711019,711019,668844
Operating Income or Loss,380953,380953,255127
Interest Expense,11225,11225,7470
Income Before Tax,366803,366803,242955
Income Tax Expense,106111,106111,70015
Income from Continuing Operations,260692,260692,172940
Net Income,260692,260692,172939
Net Income available to common shareholders,260692,260692,172939
Basic EPS,-,-,38.69
Diluted EPS,-,-,38.69
Basic Average Shares,-,-,4470
Diluted Average Shares,-,-,4470
