Attribute,Value
Previous Close,50.14
Open,50.90
Bid,54.08 x 0
Ask,51.20 x 0
Day's Range,50.70 - 51.57
52 Week Range,41.22 - 66.70
Volume,402478
Avg. Volume,463147
Net Assets,3.03B
NAV,49.89
PE Ratio (TTM),
Yield,5.66%
YTD Daily Total Return,-16.88%
Beta (5Y Monthly),1.00
Expense Ratio (net),0.00%
Inception Date,2001-08-24
