Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1182475,1248398,1106336,787821
Liabilities,,,,
Total Liabilities,1044700,1120108,986473,710861
Stockholders' Equity,,,,
Common Stock,86617,85925,84859,47943
Retained Earnings,65063,56037,47431,41334
Accumulated other comprehensive income,1842,-154,1091,1201
Total stockholders' equity,137775,128290,119863,76960
Total liabilities and stockholders' equity,1182475,1248398,1106336,787821
