Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-2126,-,-2.844,-2.099
Net cash used for investing activites,-,-2126,-,-2.844,-2.099
Debt repayment,-,-,-,-,-1500
Common stock issued,-,1326,2040,-,-
Common stock repurchased,-,-25.077,-70.516,-2.1,-
Other financing activites,-,-,-,-,-76.898
Net cash used privided by (used for) financing activities,-,1301,1969,-2.1,-76.898
Net change in cash,-19.201,-470.847,-491.268,697.505,-263.673
Cash at beginning of period,587.113,1735,2227,1529,1793
Cash at end of period,567.912,1265,1735,2227,1529
Capital Expenditure,-,-2126,-,-2.844,-2.099
Free Cash Flow,-1320,-1771,-2461,699.605,-186.775
