Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1641000,1745000,1627000,1142000
Depreciation & amortization,-,504000,429000,369000
Change in working capital,-,-4297000,3339000,-513000
Inventory,-,-465000,-430000,900000
Other working capital,-,-4703000,2969000,-906000
Other non-cash items,-,58000,89000,-46000
Net cash provided by operating activites,-,-2005000,5857000,912000
Investments in property plant and equipment,-,-2698000,-2888000,-1818000
Acquisitions net,-,-182000,-1000,-
Purchases of investments,-,-2228000,-25000,-1122000
Sales/Maturities of investments,-,90000,1238000,2856000
Other investing activites,-,-2000,-,-
Net cash used for investing activites,-,-3050000,-1653000,-87000
Net change in cash,-,-5990000,6582000,362000
Cash at beginning of period,-,13124000,6542000,6179000
Cash at end of period,-,7134000,13124000,6542000
Operating Cash Flow,-,-2005000,5857000,912000
Capital Expenditure,-,-2698000,-2888000,-1818000
Free Cash Flow,-,-4703000,2969000,-906000
