Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4807000,4328000,3622000,3708000
Depreciation & amortization,-,1829000,1851000,1819000
Stock based compensation,-,-,183000,-
Change in working capital,-,-286000,-1494000,-321000
Other working capital,-,4608000,3304000,4153000
Other non-cash items,-,288000,605000,-189000
Net cash provided by operating activites,-,6592000,4678000,5390000
Investments in property plant and equipment,-,-1984000,-1374000,-1237000
Acquisitions net,-,-,-,-1313000
Purchases of investments,-,-502000,-,-150000
Sales/Maturities of investments,-,-,-,251000
Other investing activites,-,-87000,-70000,135000
Net cash used for investing activites,-,-2567000,-1418000,-2281000
Net change in cash,-,3417000,2008000,540000
Cash at beginning of period,-,10258000,8249000,7708000
Cash at end of period,-,13675000,10258000,8249000
Operating Cash Flow,-,6592000,4678000,5390000
Capital Expenditure,-,-1984000,-1374000,-1237000
Free Cash Flow,-,4608000,3304000,4153000
