Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,276087800,243036100,253941200,228014300
Liabilities,,,,
Total Liabilities,261402000,231580100,241019300,217720500
Stockholders' Equity,,,,
Common Stock,4800,4800,4700,4700
Retained Earnings,11074300,10290200,9482900,7720400
Accumulated other comprehensive income,1037900,-1565100,165500,-675200
Total stockholders' equity,14618000,11390000,12849300,10227300
Total liabilities and stockholders' equity,276087800,243036100,253941200,228014300
