Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7522000,6903000,6361000,4863000
Depreciation & amortization,-,4462000,4360000,4675000
Change in working capital,-,-511000,-244000,4179000
Inventory,-,-787000,-384000,-1588000
Other working capital,-,6275000,6561000,9538000
Other non-cash items,-,410000,963000,-434000
Net cash provided by operating activites,-,9513000,11649000,12637000
Investments in property plant and equipment,-,-3238000,-5088000,-3099000
Purchases of investments,-,-1037000,-824000,-778000
Sales/Maturities of investments,-,2618000,789000,498000
Other investing activites,-,21000,73000,7000
Net cash used for investing activites,-,-880000,-2924000,-3155000
Net change in cash,-,1973000,4213000,-475000
Cash at beginning of period,-,17136000,12923000,13399000
Cash at end of period,-,19109000,17136000,12923000
Operating Cash Flow,-,9513000,11649000,12637000
Capital Expenditure,-,-3238000,-5088000,-3099000
Free Cash Flow,-,6275000,6561000,9538000
