Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-62282,133951,272567,112859
Depreciation & amortization,-,218673,150368,178517
Change in working capital,-,-95117,274289,-279348
Inventory,-,-189403,54063,75086
Other working capital,-,-95220,650937,-181086
Other non-cash items,-,26811,31173,27908
Net cash provided by operating activites,-,109968,810567,-1883
Investments in property plant and equipment,-,-205188,-159630,-179203
Other investing activites,-,52181,56573,42887
Net cash used for investing activites,-,-151747,-99897,-135401
Net change in cash,-,-101801,662388,-177273
Cash at beginning of period,-,2019087,1356699,1533973
Cash at end of period,-,1917286,2019087,1356699
Operating Cash Flow,-,109968,810567,-1883
Capital Expenditure,-,-205188,-159630,-179203
Free Cash Flow,-,-95220,650937,-181086
