Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-27808,-27808
Acquisitions net,13656,13656
Purchases of investments,-171111,-171111
Other investing activites,-15257,-15257
Net cash used for investing activites,-200520,-200520
Debt repayment,-2852,-2852
Common stock issued,261847,261847
Common stock repurchased,-15401,-15401
Other financing activites,21389,21389
Net cash used privided by (used for) financing activities,264984,264984
Net change in cash,70358,70358
Cash at beginning of period,1150,1150
Cash at end of period,69874,69874
Capital Expenditure,-27808,-27808
Free Cash Flow,-21913,-21913
