Breakdown,ttm,8/31/2019,8/31/2018
Total Revenue,5024157,5024157,4229294
Cost of Revenue,1899155,1899155,1483144
Gross Profit,3125002,3125002,2746150
Selling General and Administrative,545207,545207,405554
Total Operating Expenses,603732,603732,448314
Operating Income or Loss,2521270,2521270,2297836
Interest Expense,98040,98040,74573
Income Before Tax,2384323,2384323,2077386
Income Tax Expense,1725,1725,1458
Income from Continuing Operations,2382598,2382598,2075928
Net Income,2382597,2382597,2075928
Net Income available to common shareholders,2382597,2382597,2075928
Basic Average Shares,-,-,206.574
Diluted Average Shares,-,-,206.574
