Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,8294000,7329000,6839000,5580000
Depreciation & amortization,-,2338000,2362000,2122000
Change in working capital,-,88000,-1195000,-1209000
Inventory,-,400000,-1178000,-1851000
Other working capital,-,6336000,4918000,3280000
Other non-cash items,-,1321000,1157000,453000
Net cash provided by operating activites,-,10575000,9696000,7567000
Investments in property plant and equipment,-,-4239000,-4778000,-4287000
Acquisitions net,-,-,-,-240000
Purchases of investments,-,-7000,-7000,-250000
Sales/Maturities of investments,-,756000,492000,573000
Other investing activites,-,123000,-193000,-244000
Net cash used for investing activites,-,-3266000,-4471000,-4301000
Net change in cash,-,5589000,3770000,1303000
Cash at beginning of period,-,7389000,3619000,2316000
Cash at end of period,-,12979000,7389000,3619000
Operating Cash Flow,-,10575000,9696000,7567000
Capital Expenditure,-,-4239000,-4778000,-4287000
Free Cash Flow,-,6336000,4918000,3280000
