Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Total Revenue,78461,78461,72916,63499
Interest Expense,10086,10086,7649,6560
Income Before Tax,30464,30464,28356,22531
Income Tax Expense,5640,5640,5300,8546
Income from Continuing Operations,24824,24824,23056,13985
Net Income,24824,24824,23056,13985
Net Income available to common shareholders,24824,24824,23056,13985
Basic EPS,-,-,3.20,1.94
Diluted EPS,-,-,3.20,1.94
Basic Average Shares,-,-,7210,7210
Diluted Average Shares,-,-,7210,7210
