Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Total Revenue,5878069,5975200,5410532,5692663
Cost of Revenue,3483833,3781396,3481592,3788468
Gross Profit,2394236,2193803,1928940,1904195
Total Operating Expenses,1576142,1384581,1347912,1196923
Operating Income or Loss,818094,809222,581028,707272
Interest Expense,328,470,679,978
Income Before Tax,874283,803832,594376,728330
Income Tax Expense,276432,253641,189336,248903
Income from Continuing Operations,597851,550191,405040,479427
Net Income,597851,550191,405040,479427
Net Income available to common shareholders,597851,550191,405040,479427
Basic EPS,-,62.90,46.30,54.80
Diluted EPS,-,62.90,46.30,54.80
Basic Average Shares,-,8747,8747,8747
Diluted Average Shares,-,8747,8747,8747
