Breakdown,ttm,3/31/2019,3/31/2018
Net Income,4232682,4232682,4034066
Depreciation & amortization,678656,678656,481313
Change in working capital,218775,218775,-2154043
Other working capital,4156142,4156142,1266222
Other non-cash items,8503,8503,51583
Net cash provided by operating activites,5133990,5133990,2510186
Investments in property plant and equipment,-977848,-977848,-1243964
Sales/Maturities of investments,374235,374235,108586
Other investing activites,-98429,-98429,-128
Net cash used for investing activites,-683271,-683271,-1133594
Net change in cash,2179475,2179475,-486266
Cash at beginning of period,7530284,7530284,8016551
Cash at end of period,9709760,9709760,7530284
Operating Cash Flow,5133990,5133990,2510186
Capital Expenditure,-977848,-977848,-1243964
Free Cash Flow,4156142,4156142,1266222
