Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-362900,-197500,-311500,-93100,-63500
Acquisitions net,-,-,-,-,-375400
Purchases of investments,-,-,-600,-2300,-19000
Net cash used for investing activites,-360400,-195500,-309700,-91800,-456500
Debt repayment,-284700,-324700,-366000,-403700,-210100
Common stock repurchased,-11000,-7400,-12400,-,-
Dividends Paid,-118700,-99900,-108300,-25100,-92100
Other financing activites,18300,18300,-,-1400,-500
Net cash used privided by (used for) financing activities,-31900,-81000,-320700,-367700,359800
Net change in cash,-31700,45700,-3900,-45800,31700
Cash at beginning of period,81100,51300,53600,101300,55000
Cash at end of period,49400,97300,51300,53600,101300
Capital Expenditure,-362900,-197500,-311500,-93100,-63500
Free Cash Flow,-2300,124700,315000,320600,64900
