Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4969000,24361000,7769000,17820000
Depreciation & amortization,-,15861000,11957000,10023000
Change in working capital,-,-4542000,6582000,4884000
Other working capital,-,32904000,28704000,32692000
Other non-cash items,-,606000,-345000,-271000
Net cash provided by operating activites,-,42353000,35003000,39617000
Investments in property plant and equipment,-,-9449000,-6299000,-6925000
Acquisitions net,-,-4447000,-61896000,-2561000
Purchases of investments,-,-863000,-1288000,-201000
Sales/Maturities of investments,-,194000,80000,1000
Other investing activites,-,-1679000,672000,-73000
Net cash used for investing activites,-,-15141000,-66732000,-9708000
Net change in cash,-,-20596000,20184000,18243000
Cash at beginning of period,-,89566000,69382000,51138000
Cash at end of period,-,68969000,89566000,69382000
Operating Cash Flow,-,42353000,35003000,39617000
Capital Expenditure,-,-9449000,-6299000,-6925000
Free Cash Flow,-,32904000,28704000,32692000
