Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-2444,-4300,-1736,-1006,-501.329
Purchases of investments,-,-213.279,-15.071,-,-
Net cash used for investing activites,-2268,-4410,-1714,11.671,-458.423
Common stock issued,-,6097,-,-,-
Net cash used privided by (used for) financing activities,-,5200,897.642,-,-
Net change in cash,-1758,82.597,-1172,-809.97,-1183
Cash at beginning of period,2303,130.828,1278,2118,3375
Cash at end of period,544.603,251.361,130.828,1278,2118
Capital Expenditure,-2444,-4300,-1736,-1006,-501.329
Free Cash Flow,-1807,-5007,-2092,-1828,-1226
