Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,1269462,1151478,982291,868781
Liabilities,,,,
Total Liabilities,1157093,1055287,898770,794480
Stockholders' Equity,,,,
Common Stock,861,861,861,861
Retained Earnings,101774,86213,73072,63805
Accumulated other comprehensive income,-1006,-1623,-992,-725
Total stockholders' equity,112369,96191,83521,74301
Total liabilities and stockholders' equity,1269462,1151478,982291,868781
