Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,421970,467846,435662
Liabilities,,,
Total Liabilities,39771,35977,39634
Stockholders' Equity,,,
Common Stock,0,0,0
Total stockholders' equity,382199,431869,396028
Total liabilities and stockholders' equity,421970,467846,435662
