Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,118719,118719,124959,121558,122372
Interest Expense,112720,112720,97435,94088,94441
Income Before Tax,42620,42620,44989,42238,41090
Income Tax Expense,12842,12842,13528,12158,12756
Income from Continuing Operations,29778,29778,31461,30080,28334
Net Income,30987,30987,31461,30080,28334
Net Income available to common shareholders,30987,30987,31461,30080,28334
Basic EPS,-,0.34,0.35,0.34,0.32
Diluted EPS,-,0.34,0.35,0.34,0.32
Basic Average Shares,-,90676,89960,88356,87463
Diluted Average Shares,-,90676,89960,88356,87463
