Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,102546,105855,151576,11252
Depreciation & amortization,-,140192,133986,101102
Change in working capital,-,267514,-1375494,-778098
Inventory,-,20947,-247361,-833498
Other working capital,-,444546,-1282077,-836282
Other non-cash items,-,-16184,63290,29175
Net cash provided by operating activites,-,531622,-1107300,-702482
Investments in property plant and equipment,-,-87076,-174777,-133800
Acquisitions net,-,-211275,-,-
Purchases of investments,-,-45062,-68296,-2393
Sales/Maturities of investments,-,4944,57749,572152
Other investing activites,-,-221207,38611,20758
Net cash used for investing activites,-,-555855,-144394,468903
Net change in cash,-,241331,876338,835256
Cash at beginning of period,-,3098974,2222635,1387379
Cash at end of period,-,3340305,3098974,2222635
Operating Cash Flow,-,531622,-1107300,-702482
Capital Expenditure,-,-87076,-174777,-133800
Free Cash Flow,-,444546,-1282077,-836282
