Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-5218,-3751,-5405,-2890,-2167
Other investing activites,-,-,35.142,-,-
Net cash used for investing activites,-5218,-3751,-5369,-2890,-2167
Common stock issued,7732,9424,8012,1807,4711
Common stock repurchased,-323.788,-316.783,-521.941,-146.068,-427.701
Other financing activites,-,-,-,100,3.354
Net cash used privided by (used for) financing activities,7408,9107,7490,1761,4286
Net change in cash,491.714,3702,497.529,-2076,1222
Cash at beginning of period,1281,528.997,54.856,2137,894.351
Cash at end of period,1773,4254,528.997,54.856,2137
Capital Expenditure,-5218,-3751,-5405,-2890,-2167
Free Cash Flow,-6916,-5405,-7028,-3837,-3065
