Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,5060297,4559779,3499033,2641067
Liabilities,,,,
Total Liabilities,4423707,3923172,3107335,2351722
Stockholders' Equity,,,,
Common Stock,272,271,9867,9928
Retained Earnings,229030,170486,119356,83910
Accumulated other comprehensive income,1106,-1203,-596,-276
Total stockholders' equity,636590,636607,391698,289345
Total liabilities and stockholders' equity,5060297,4559779,3499033,2641067
