Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,998465,985784,929454,911382
Liabilities,,,,
Total Liabilities,889858,893883,841832,826431
Stockholders' Equity,,,,
Common Stock,46,44,41,38
Retained Earnings,34293,32073,30214,34293
Accumulated other comprehensive income,5239,-3991,-405,-1348
Total stockholders' equity,108607,91901,87622,84951
Total liabilities and stockholders' equity,998465,985784,929454,911382
