Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,660000,660000,329000,929000,664000
Depreciation & amortization,463000,463000,485000,383000,385000
Change in working capital,995000,995000,-513000,1306000,237000
Inventory,-113000,-113000,-37000,567000,-360000
Other working capital,2177000,2177000,-96000,1727000,1339000
Other non-cash items,55000,55000,-62000,27000,26000
Net cash provided by operating activites,2436000,2436000,688000,2502000,1782000
Investments in property plant and equipment,-259000,-259000,-784000,-775000,-443000
Acquisitions net,-31000,-31000,-,-,-
Purchases of investments,-342000,-342000,-,-19000,-161000
Sales/Maturities of investments,-,-,239000,-,23000
Other investing activites,-3000,-3000,-69000,2000,-75000
Net cash used for investing activites,-635000,-635000,-468000,-792000,-650000
Net change in cash,1661000,1661000,-598000,1615000,855000
Cash at beginning of period,5252000,5252000,5850000,4234000,3339000
Cash at end of period,6913000,6913000,5252000,5850000,4234000
Operating Cash Flow,2436000,2436000,688000,2502000,1782000
Capital Expenditure,-259000,-259000,-784000,-775000,-443000
Free Cash Flow,2177000,2177000,-96000,1727000,1339000
