Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1090550,773063,667849,614389
Liabilities,,,,
Total Liabilities,684670,509077,429660,404175
Stockholders' Equity,,,,
Common Stock,222,212,210,210
Retained Earnings,162911,106545,73502,53640
Accumulated other comprehensive income,13518,-1256,9395,3011
Total stockholders' equity,405880,263986,238189,210214
Total liabilities and stockholders' equity,1090550,773063,667849,614389
