Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-448845,-694174,-213750,349206
Depreciation & amortization,-,1185113,1124058,1063351
Change in working capital,-,625776,-340603,13449
Inventory,-,296409,11185,43968
Other working capital,-,744979,-111537,533011
Other non-cash items,-,189229,352601,-198462
Net cash provided by operating activites,-,1184268,698611,1612498
Investments in property plant and equipment,-,-439289,-810148,-1079487
Purchases of investments,-,-,-,-363742
Other investing activites,-,-3892,5184,11612
Net cash used for investing activites,-,-212801,-479895,-1463618
Net change in cash,-,226935,143669,250434
Cash at beginning of period,-,1512114,1368445,1118010
Cash at end of period,-,1739050,1512114,1368445
Operating Cash Flow,-,1184268,698611,1612498
Capital Expenditure,-,-439289,-810148,-1079487
Free Cash Flow,-,744979,-111537,533011
