Breakdown,ttm,6/30/2019
Total Revenue,541679,333268
Interest Expense,17,71
Income Before Tax,508414,304212
Income Tax Expense,0,0
Income from Continuing Operations,508414,304212
Net Income,508414,304212
Net Income available to common shareholders,508414,304212
Basic EPS,-,0.27
Diluted EPS,-,0.27
Basic Average Shares,-,1108127
Diluted Average Shares,-,1108127
