Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Investments in property plant and equipment,-7080,-7080,-5037,-1925,-3408
Purchases of investments,-14330,-14330,-115101,-43223,-13120
Sales/Maturities of investments,16596,16596,26258,15438,9971
Other investing activites,-,-899,-5206,-491,-
Net cash used for investing activites,-4814,-4814,-99086,-30201,-6557
Debt repayment,-,-,-,-,-103907
Common stock repurchased,-34790,-34790,-32297,-42607,-45846
Dividends Paid,-150563,-150563,-136799,-120119,-106082
Net cash used privided by (used for) financing activities,-185484,-185484,-169245,-162911,-168303
Net change in cash,-18101,-18101,-27081,18779,-697
Cash at beginning of period,168134,168134,194199,174231,166752
Cash at end of period,149044,149044,168134,194199,174231
Capital Expenditure,-7080,-7080,-5037,-1925,-3408
Free Cash Flow,165117,165117,236213,209966,170755
