Breakdown,6/30/2019,6/30/2018,12/31/2017
Total Assets,296930,271746,268593
Liabilities,,,
Total Liabilities,79176,70093,70167
Stockholders' Equity,,,
Common Stock,321766,298970,292710
Retained Earnings,26515,34857,38801
Accumulated other comprehensive income,-130527,-132174,-133085
Total stockholders' equity,217754,201652,198426
Total liabilities and stockholders' equity,296930,271746,268593
