Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Net Income,148990,161346,147719,170766,256470
Depreciation & amortization,200276,203665,340150,367771,290412
Stock based compensation,13858,10393,-,-,-
Change in working capital,79942,-43080,-70496,26530,-77847
Inventory,-5185,-9089,-5949,-5420,-1750
Other working capital,88528,209579,437927,-224741,242753
Other non-cash items,-25232,-42007,5853,14607,1644
Net cash provided by operating activites,475763,387584,554008,585601,536167
Investments in property plant and equipment,-387235,-178005,-116081,-810342,-293414
Acquisitions net,-,-10000,-35700,-,-
Purchases of investments,-40137,-29962,-,-20005,-29750
Sales/Maturities of investments,20023,15764,-,-,-
Other investing activites,-84527,-11862,8569,-73010,-112684
Net cash used for investing activites,-520876,-178565,-164002,-902280,-435848
Net change in cash,-312683,-194473,68031,371491,94044
Cash at beginning of period,996908,1157862,1089831,718339,624294
Cash at end of period,684223,963389,1157862,1089831,718339
Operating Cash Flow,475763,387584,554008,585601,536167
Capital Expenditure,-387235,-178005,-116081,-810342,-293414
Free Cash Flow,88528,209579,437927,-224741,242753
