Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3396175,3310874,3279331,3485569
Depreciation & amortization,-,760975,751737,734386
Change in working capital,-,298876,170480,110324
Inventory,-,-268472,884560,646204
Other working capital,-,3504724,3424855,3367272
Other non-cash items,-,-162324,95803,140749
Net cash provided by operating activites,-,4236636,4256830,4237927
Investments in property plant and equipment,-,-731912,-831975,-870655
Purchases of investments,-,-3000000,-1500000,-1000000
Sales/Maturities of investments,-,1019457,1000000,-
Other investing activites,-,1,-,-1000000
Net cash used for investing activites,-,-2712454,-1318243,-1870655
Net change in cash,-,555469,2087794,1512404
Cash at beginning of period,-,12374651,10286856,8774452
Cash at end of period,-,12930120,12374651,10286856
Operating Cash Flow,-,4236636,4256830,4237927
Capital Expenditure,-,-731912,-831975,-870655
Free Cash Flow,-,3504724,3424855,3367272
