Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-67060,185402,519447,-632220
Depreciation & amortization,-,306709,196190,320383
Change in working capital,-,-337322,-92070,-257609
Inventory,-,-276942,-135737,113360
Other working capital,-,172296,661981,-152119
Other non-cash items,-,45936,-22950,70010
Net cash provided by operating activites,-,172296,661981,-152119
Acquisitions net,-,-809400,-59878,-
Purchases of investments,-,-,-6300,-88020
Other investing activites,-,-490688,-143026,-40207
Net cash used for investing activites,-,-1280088,-209204,-128227
Net change in cash,-,-88134,982744,-660866
Cash at beginning of period,-,2081187,1098442,1759309
Cash at end of period,-,2005836,2081187,1098442
Operating Cash Flow,-,172296,661981,-152119
Free Cash Flow,-,172296,661981,-152119
