Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,4653573,3291480,3212271,3079575
Liabilities,,,,
Total Liabilities,4144591,2934413,2871967,2774119
Stockholders' Equity,,,,
Common Stock,16581,12463,12463,11713
Retained Earnings,201105,168951,148078,136975
Accumulated other comprehensive income,4372,-5661,-2602,-1133
Total stockholders' equity,508982,357067,340304,305456
Total liabilities and stockholders' equity,4653573,3291480,3212271,3079575
