Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1354,-1354,-1936,-2760,-2336
Acquisitions net,-,-,-,-,-253.637
Other investing activites,-,-,-1000,-1000,-
Net cash used for investing activites,-1316,-1316,-2936,2802,-2590
Debt repayment,-,-,-842.381,-,-
Common stock issued,3405,3405,7089,1825,3185
Common stock repurchased,-447.839,-447.839,-665.806,-419.282,-381.677
Other financing activites,-,-,44.41,194.412,-
Net cash used privided by (used for) financing activities,3370,3370,5626,2350,2804
Net change in cash,-129.98,-129.98,-669.083,763.632,-907.304
Cash at beginning of period,167.614,167.614,834.377,71.548,949.79
Cash at end of period,34.213,34.213,167.614,834.377,71.548
Capital Expenditure,-1354,-1354,-1936,-2760,-2336
Free Cash Flow,-3538,-3538,-5295,-7148,-3457
