Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3365000,3309000,4031000,3372000
Depreciation & amortization,-,2468000,2440000,2646000
Change in working capital,-,-1970000,4439000,-3213000
Inventory,-,18000,-820000,285000
Other working capital,-,2324000,9691000,1911000
Other non-cash items,-,-69000,-432000,254000
Net cash provided by operating activites,-,2715000,10576000,3409000
Investments in property plant and equipment,-,-391000,-885000,-1498000
Acquisitions net,-,-2890000,-,-
Purchases of investments,-,-179000,-124000,-218000
Sales/Maturities of investments,-,3000,176000,76000
Other investing activites,-,-3107000,-212000,-2798000
Net cash used for investing activites,-,-6562000,99000,-3908000
Net change in cash,-,-4007000,9052000,-2748000
Cash at beginning of period,-,28112000,19059000,21808000
Cash at end of period,-,24104000,28112000,19059000
Operating Cash Flow,-,2715000,10576000,3409000
Capital Expenditure,-,-391000,-885000,-1498000
Free Cash Flow,-,2324000,9691000,1911000
