Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-633505,-1111887,-518827,-459162
Depreciation & amortization,-,75391,81828,115141
Change in working capital,-,-26575,83525,-349050
Inventory,-,-17433,30642,38856
Other working capital,-,-847689,-191858,-709227
Other non-cash items,-,-556,-48664,-54824
Net cash provided by operating activites,-,-443198,-72411,-700446
Investments in property plant and equipment,-,-404491,-119447,-8781
Acquisitions net,-,-,-310784,-
Purchases of investments,-,-,-8337,-4822
Sales/Maturities of investments,-,10000,18609,-
Other investing activites,-,10672,251427,-121259
Net cash used for investing activites,-,-301179,-159375,-70747
Net change in cash,-,111545,-243675,-603337
Cash at beginning of period,-,274715,518390,1121728
Cash at end of period,-,386260,274715,518390
Operating Cash Flow,-,-443198,-72411,-700446
Capital Expenditure,-,-404491,-119447,-8781
Free Cash Flow,-,-847689,-191858,-709227
