Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,7861000,9406000,10382000,9785000
Depreciation & amortization,-,3680000,3435000,3341000
Change in working capital,-,274000,-654000,147000
Inventory,-,-250000,-637000,-104000
Other working capital,-,-14217000,-1094000,6181000
Other non-cash items,-,379000,446000,223000
Net cash provided by operating activites,-,14254000,13590000,13486000
Investments in property plant and equipment,-,-28471000,-14684000,-7305000
Sales/Maturities of investments,-,100000,-,384000
Other investing activites,-,-161000,-237000,-287000
Net cash used for investing activites,-,-28473000,-14837000,-7110000
Net change in cash,-,-16206000,-3234000,4391000
Cash at beginning of period,-,42888000,46122000,41731000
Cash at end of period,-,26682000,42888000,46122000
Operating Cash Flow,-,14254000,13590000,13486000
Capital Expenditure,-,-28471000,-14684000,-7305000
Free Cash Flow,-,-14217000,-1094000,6181000
