Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,546970,763596,477692,614616
Depreciation & amortization,-,756557,612635,574839
Change in working capital,-,-413986,-599096,-243034
Inventory,-,82457,-552007,-155924
Other working capital,-,786782,209288,630922
Other non-cash items,-,66528,62177,-7969
Net cash provided by operating activites,-,1115577,498335,995608
Investments in property plant and equipment,-,-328795,-289047,-364686
Acquisitions net,-,-2335729,-,-
Purchases of investments,-,-2083592,-4797,-54736
Sales/Maturities of investments,-,2192009,1,2
Other investing activites,-,159764,-123915,49566
Net cash used for investing activites,-,-2380574,-417703,-369402
Net change in cash,-,1020018,-240816,-90291
Cash at beginning of period,-,354399,595216,685508
Cash at end of period,-,1374418,354399,595216
Operating Cash Flow,-,1115577,498335,995608
Capital Expenditure,-,-328795,-289047,-364686
Free Cash Flow,-,786782,209288,630922
