Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,827496,794162,758956,743658
Liabilities,,,,
Total Liabilities,728548,708206,677906,667816
Stockholders' Equity,,,,
Common Stock,38,38,38,38
Retained Earnings,65266,58137,51972,47051
Accumulated other comprehensive income,2142,-3477,-2060,-2277
Total stockholders' equity,98836,85844,80938,75730
Total liabilities and stockholders' equity,827496,794162,758956,743658
