Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,3551000,3447000,2608000,2918000
Depreciation & amortization,-,1594000,1660000,1563000
Stock based compensation,-,76000,79000,58000
Change in working capital,-,-1985000,-299000,-311000
Inventory,-,-532000,-123000,-262000
Other working capital,-,2114000,913000,2776000
Other non-cash items,-,94000,91000,178000
Net cash provided by operating activites,-,3318000,4091000,4701000
Investments in property plant and equipment,-,-1204000,-3178000,-1925000
Purchases of investments,-,-300000,-92000,-
Sales/Maturities of investments,-,115000,92000,2000
Other investing activites,-,-3047000,-72000,46000
Net cash used for investing activites,-,-4435000,-3250000,-1876000
Net change in cash,-,-2202000,-332000,1909000
Cash at beginning of period,-,6651000,6984000,5074000
Cash at end of period,-,4448000,6651000,6984000
Operating Cash Flow,-,3318000,4091000,4701000
Capital Expenditure,-,-1204000,-3178000,-1925000
Free Cash Flow,-,2114000,913000,2776000
